brand,slug,page_type,input_url,final_url,screenshot_file,video_file,status,error
American Heart Association,american_heart_association,home,https://www.heart.org/,https://www.heart.org/,evidence/screenshots/american_heart_association__home.png,evidence/recordings/american_heart_association__home.mp4,ok,interaction:scroll_only
American Heart Association,american_heart_association,key,https://www.heart.org/en/get-involved/ways-to-give,https://www.heart.org/en/get-involved/ways-to-give,evidence/screenshots/american_heart_association__key.png,evidence/recordings/american_heart_association__key.mp4,ok,interaction:scroll_only
American Cancer Society,american_cancer_society,home,https://www.cancer.org/,https://www.cancer.org/,evidence/screenshots/american_cancer_society__home.png,evidence/recordings/american_cancer_society__home.mp4,ok,interaction:scroll_only
American Cancer Society,american_cancer_society,key,https://www.cancer.org/involved/donate.html,https://www.cancer.org/donate.html,evidence/screenshots/american_cancer_society__key.png,evidence/recordings/american_cancer_society__key.mp4,ok,interaction:scroll_only
American Red Cross,american_red_cross,home,https://www.redcrossblood.org/,https://www.redcrossblood.org/,evidence/screenshots/american_red_cross__home.png,evidence/recordings/american_red_cross__home.mp4,ok,interaction:scroll_only
American Red Cross,american_red_cross,key,https://www.redcrossblood.org/donate-blood.html,https://www.redcrossblood.org/donate-blood.html,evidence/screenshots/american_red_cross__key.png,evidence/recordings/american_red_cross__key.mp4,ok,interaction:scroll_only
Mayo Clinic,mayo_clinic,home,https://www.mayoclinic.org/,https://www.mayoclinic.org/,evidence/screenshots/mayo_clinic__home.png,evidence/recordings/mayo_clinic__home.mp4,ok,interaction:scroll_only
Mayo Clinic,mayo_clinic,key,https://www.mayoclinic.org/appointments,https://www.mayoclinic.org/appointments,evidence/screenshots/mayo_clinic__key.png,evidence/recordings/mayo_clinic__key.mp4,ok,interaction:scroll_only
St. Jude Children's Research Hospital,st_jude,home,https://www.stjude.org/,https://www.stjude.org/,evidence/screenshots/st_jude__home.png,evidence/recordings/st_jude__home.mp4,ok,interaction:scroll_only
St. Jude Children's Research Hospital,st_jude,key,https://www.stjude.org/donate,https://www.stjude.org/donate/donate-to-st-jude.html,evidence/screenshots/st_jude__key.png,evidence/recordings/st_jude__key.mp4,ok,interaction:scroll_only
Make-A-Wish America,make_a_wish,home,https://wish.org/,https://wish.org/,evidence/screenshots/make_a_wish__home.png,evidence/recordings/make_a_wish__home.mp4,ok,interaction:scroll_only
Make-A-Wish America,make_a_wish,key,https://wish.org/ways-to-help,https://wish.org/ways-to-give,evidence/screenshots/make_a_wish__key.png,evidence/recordings/make_a_wish__key.mp4,ok,interaction:scroll_only
ALS United,als_association,home,https://www.alsunited.org/,https://www.alsunited.org/,evidence/screenshots/als_association__home.png,evidence/recordings/als_association__home.mp4,ok,interaction:scroll_only
ALS United,als_association,key,https://www.alsunited.org/take-action/,https://www.alsunited.org/take-action,evidence/screenshots/als_association__key.png,evidence/recordings/als_association__key.mp4,ok,interaction:scroll_only
American Lung Association,american_lung_association,home,https://www.lung.org/,https://www.lung.org/,evidence/screenshots/american_lung_association__home.png,evidence/recordings/american_lung_association__home.mp4,ok,interaction:scroll_only
