bucket,inbound_count,url
high-blood-pressure,35,https://www.heart.org/en/health-topics/high-blood-pressure/find-high-blood-pressure-tools--resources/high-blood-pressure-health-lesson
heart-attack,4,https://www.heart.org/en/health-topics/heart-attack/angina-chest-pain
heart-failure,4,https://www.heart.org/en/health-topics/heart-failure/what-is-heart-failure
cholesterol,3,https://www.heart.org/en/health-topics/cholesterol/hdl-good-ldl-bad-cholesterol-and-triglycerides
heart-attack,3,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks/acute-coronary-syndrome
heart-attack,3,https://www.heart.org/en/health-topics/heart-attack/angina-chest-pain/unstable-angina
sleep,3,https://www.heart.org/en/health-topics/sleep-disorders/sleep-apnea-and-heart-disease-stroke
fitness,3,https://www.heart.org/en/healthy-living/fitness/fitness-basics/target-heart-rates
stroke,3,https://www.stroke.org/en/about-stroke
stroke,3,https://www.stroke.org/en/about-stroke/types-of-stroke/tia-transient-ischemic-attack
go-red-for-women,2,https://www.goredforwomen.org/en/know-your-risk/high-blood-pressure-and-women
cholesterol,2,https://www.heart.org/en/health-topics/cholesterol
cholesterol,2,https://www.heart.org/en/health-topics/cholesterol/about-cholesterol
cholesterol,2,https://www.heart.org/en/health-topics/cholesterol/about-cholesterol/what-your-cholesterol-levels-mean
cholesterol,2,https://www.heart.org/en/health-topics/cholesterol/prevention-and-treatment-of-high-cholesterol-hyperlipidemia
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks/coronary-artery-dissection-not-just-a-heart-attack
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks/heart-attack-or-sudden-cardiac-arrest-how-are-they-different
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/angina-chest-pain/angina-pectoris-stable-angina
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/cardiac-catheterization
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/chest-xray
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/echocardiogram
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/electrocardiogram
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/life-after-a-heart-attack/heart-attack-recovery-faqs
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/life-after-a-heart-attack/lifestyle-changes-for-heart-attack-prevention
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/treatment-of-a-heart-attack
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/treatment-of-a-heart-attack/cardiac-medications
heart-attack,2,https://www.heart.org/en/health-topics/heart-attack/warning-signs-of-a-heart-attack
heart-failure,2,https://www.heart.org/en/health-topics/heart-failure/treatment-options-for-heart-failure/hyperkalemia-high-potassium
fitness,2,https://www.heart.org/en/healthy-living/fitness/getting-active/getting-started---tips-for-long-term-exercise-success
