include,exclude_reason,source_types,texts,url,from_urls
no,outside-healthy-eating-scope,inline,Heart-Check mark,http://heartcheck.org,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/shopping/5-easy-ways-to-find-healthier-options-at-the-grocery-store
no,outside-healthy-eating-scope,inline,Amazon(link opens in new window),http://www.amazon.com/American-Association-Low-Salt-Cookbook-Edition/dp/0307407624/ref=pd_sim_b_5,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-low-salt-cookbook-4th-edition
no,outside-healthy-eating-scope,inline,Amazon(link opens in new window),http://www.amazon.com/American-Heart-Association-Cookbook-Edition/dp/0307407616/ref=pd_sim_b_2,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-quick-and-easy-cookbook-2nd-ed
no,outside-healthy-eating-scope,inline,Amazon(link opens in new window),http://www.amazon.com/American-Heart-Association-Fresh-Heart-Healthy/dp/0307888061/ref=sr_1_1,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/go-fresh-cookbook
no,outside-healthy-eating-scope,inline,Amazon(link opens in new window),http://www.amazon.com/American-Heart-Association-Grill-Braise/dp/0307888096/ref=tmm_pap_swatch_0,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/grill-it-braise-it-broil-it-cookbook
no,outside-healthy-eating-scope,inline,Amazon(link opens in new window),http://www.amazon.com/New-American-Heart-Association-Cookbook/dp/0307587576/ref=sr_1_1,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-healthy-family-meals-cookbook
no,outside-healthy-eating-scope,inline,Barnes and Noble(link opens in new window),http://www.barnesandnoble.com/w/american-heart-association-low-salt-cookbook-4th-edition-american-heart-association/1103334524,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-low-salt-cookbook-4th-edition
no,outside-healthy-eating-scope,inline,Barnes and Noble(link opens in new window),http://www.barnesandnoble.com/w/american-heart-association-no-fad-diet-american-heart-association-staff/1103164544,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-no-fad-diet-cookbook
no,outside-healthy-eating-scope,inline,Barnes and Noble(link opens in new window),http://www.barnesandnoble.com/w/american-heart-association-quick-easy-cookbook-2nd-edition-american-heart-association/1110933229,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-quick-and-easy-cookbook-2nd-ed
no,outside-healthy-eating-scope,inline,Books-A-Million,http://www.booksamillion.com/p/9780525575542,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/instant-and-healthy-cookbook
no,outside-healthy-eating-scope,inline,Heart Powered,http://www.heartpowered.org,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/daily-tips-to-help-your-family-eat-better
no,non-html-or-non-page-resource,sidebar,Buscar un centro de entrenamiento,https://ahainstructornetwork.americanheart.org/AHAECC/classConnector.jsp,https://www.heart.org/es/healthy-living/healthy-eating/eat-smart/nutrition-basics/aha-diet-and-lifestyle-recommendations
no,outside-healthy-eating-scope,sidebar,Create a Tribute Page | Crear una página de homenaje,https://ahatribute.funraise.org,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,Find A Training Center,https://atlas.heart.org,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,CEO Roundtable | Mesa redonda de ejecutivos,https://ceoroundtable.heart.org,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,inline,More information,https://cookiepedia.co.uk/giving-consent-to-cookies,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,global|sidebar,Learn CPR | CPR and First Aid | CPR & ECC,https://cpr.heart.org/en,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
