order,source_types,link_texts,input_url,final_url,title,bucket,screenshot_file,status,error
1,start,Healthy Eating,https://www.heart.org/en/healthy-living/healthy-eating,https://www.heart.org/en/healthy-living/healthy-eating,Healthy Eating | American Heart Association,healthy-eating-root,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/01__heart-org-en-healthy-living-healthy-eating.png,ok,
2,sidebar,Add Color,https://www.heart.org/en/healthy-living/healthy-eating/add-color,https://www.heart.org/en/healthy-living/healthy-eating/add-color,Add Color | American Heart Association,add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/02__heart-org-en-healthy-living-healthy-eating-add-color.png,ok,
3,inline|sidebar,Cooking Skills,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills,Cooking Skills | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/03__heart-org-en-healthy-living-healthy-eating-cooking-skills.png,ok,
4,inline|sidebar,Eat Smart,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart,Eat Smart | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/04__heart-org-en-healthy-living-healthy-eating-eat-smart.png,ok,
5,sidebar,Healthy Food Facts,https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts,https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts,Healthy Food Facts | American Heart Association,healthy-food-facts,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/05__heart-org-en-healthy-living-healthy-eating-healthy-food-facts.png,ok,
6,inline|sidebar,Heart-Check Foods | More About Heart-Check Foods,https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods,https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods,Heart-Check Foods | American Heart Association,heart-check-foods,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/06__heart-org-en-healthy-living-healthy-eating-heart-check-foods.png,ok,
7,inline|sidebar,Losing Weight,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight,Losing Weight | American Heart Association,losing-weight,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/07__heart-org-en-healthy-living-healthy-eating-losing-weight.png,ok,
8,inline|sidebar,Recipes | Healthy Recipes | View our entire recipe collection | Healthy food and recipes to fit your life | What are heart-healthy foods and recipes?,https://recipes.heart.org/en,https://recipes.heart.org/en,Recipes | American Heart Association Recipes,recipes-sample,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/08__recipes-heart-org-en.png,ok,
9,inline,Learn more about Together Tuesdays,https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays,https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays,Together Tuesdays | American Heart Association,other-healthy-eating,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/09__heart-org-en-healthy-living-healthy-eating-together-tuesdays.png,ok,
10,inline,See All Recipes | Browse Recipes,https://recipes.heart.org/en/recipes,https://recipes.heart.org,Recipes | American Heart Association Recipes,recipes-sample,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/10__recipes-heart-org-root.png,ok,
11,inline,Blueberry Mango Smoothie,https://recipes.heart.org/en/recipes/blueberry-mango-smoothie,https://recipes.heart.org/en/recipes/blueberry-mango-smoothie,Blueberry Mango Smoothie | American Heart Association Recipes,recipes-sample,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/11__recipes-heart-org-en-recipes-blueberry-mango-smoothie.png,ok,
12,inline,See All AHA Cookbooks | View All Cookbooks,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks,American Heart Association Cookbooks | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/12__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks.png,ok,
13,inline,"The New American Heart Association Cookbook, Centennial Edition",https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-cookbook-centennial-edition,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-cookbook-centennial-edition,"The New American Heart Association Cookbook, Centennial Edition | American Heart Association",eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/13__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-aha-cookbook-centennial-edition.png,ok,
14,inline|sidebar,"Quick & Easy Cookbook, 2nd edition | American Heart Association Quick & Easy 2nd edition",https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-quick-and-easy-cookbook-2nd-ed,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-quick-and-easy-cookbook-2nd-ed,"Quick & Easy Cookbook, 2nd edition | American Heart Association",eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/14__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-aha-quick-and-easy-cookbook-2nd-ed.png,ok,
15,inline|sidebar,Eat Less Salt Cookbook | American Heart Association Eat Less Salt Cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-eat-less-salt-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-eat-less-salt-cookbook,Eat Less Salt Cookbook | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/15__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-aha-eat-less-salt-cookbook.png,ok,
16,inline|sidebar,Instant & Healthy | Instant and Healthy Cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/instant-and-healthy-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/instant-and-healthy-cookbook,Instant & Healthy | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/16__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-instant-and-healthy-cookbook.png,ok,
17,inline|sidebar,"Healthy Slow Cooker Cookbook 2nd Edition | Healthy Slow Cooker Cookbook, 2nd Edition",https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/healthy-slow-cooker-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/healthy-slow-cooker-cookbook,"Healthy Slow Cooker Cookbook, 2nd Edition | American Heart Association",eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/17__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-healthy-slow-cooker-cookbook.png,ok,
18,inline,5 Reasons to Add Color,https://www.heart.org/en/healthy-living/healthy-eating/add-color/5-reasons-to-eat-more-color,https://www.heart.org/en/healthy-living/healthy-eating/add-color/5-reasons-to-eat-more-color,5 Reasons to Add Color Infographic | American Heart Association,add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/18__heart-org-en-healthy-living-healthy-eating-add-color-5-reasons-to-eat-more-color.png,ok,
19,inline,Fuel Your Body Right Infographic,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/fuel-your-body-right,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/fuel-your-body-right,Fuel Your Body Right: Building Blocks for Healthy Eating | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/19__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-fuel-your-body-right.png,ok,
20,inline,4 Ways to Get Good Fats | What are healthy fats?,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/4-ways-to-get-good-fats-infographic,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/4-ways-to-get-good-fats-infographic,4 Ways to Get Good Fats Infographic | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/20__heart-org-en-healthy-living-healthy-eating-eat-smart-fats-4-ways-to-get-good-fats-infographic.png,ok,
21,inline,Check for the Heart-Check Mark | View the Check for the Heart-Check Mark infographic,https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods/check-for-the-heart-check-mark-infographic,https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods/check-for-the-heart-check-mark-infographic,Check for the Heart-Check Mark Infographic | American Heart Association,heart-check-foods,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/21__heart-org-en-healthy-living-healthy-eating-heart-check-foods-check-for-the-heart-check-mark-infographic.png,ok,
22,inline,How to Eat More Fruits and Vegetables | How to Eat More Fruit and Vegetables,https://www.heart.org/en/healthy-living/healthy-eating/add-color/how-to-eat-more-fruits-and-vegetables,https://www.heart.org/en/healthy-living/healthy-eating/add-color/how-to-eat-more-fruits-and-vegetables,How to Eat More Fruit and Vegetables | American Heart Association,add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/22__heart-org-en-healthy-living-healthy-eating-add-color-how-to-eat-more-fruits-and-vegetables.png,ok,
23,inline|sidebar,Learn How to Sneak More Vegetables into Meals | Get More Vegetables Into Your Meals,https://www.heart.org/en/healthy-living/healthy-eating/add-color/sneaking-more-vegetables-into-meals,https://www.heart.org/en/healthy-living/healthy-eating/add-color/sneaking-more-vegetables-into-meals,Get More Vegetables Into Your Meals | American Heart Association,add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/23__heart-org-en-healthy-living-healthy-eating-add-color-sneaking-more-vegetables-into-meals.png,ok,
24,inline|sidebar,"How to Make a Hearty, Healthy Salad",https://www.heart.org/en/healthy-living/healthy-eating/add-color/how-to-make-a-hearty-healthy-salad,https://www.heart.org/en/healthy-living/healthy-eating/add-color/how-to-make-a-hearty-healthy-salad,How to Make a Hearty Healthy Salad | American Heart Association,add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/24__heart-org-en-healthy-living-healthy-eating-add-color-how-to-make-a-hearty-healthy-salad.png,ok,
25,inline|sidebar,Meet the Apple Family,https://www.heart.org/en/healthy-living/healthy-eating/add-color/meet-the-apple-family,https://www.heart.org/en/healthy-living/healthy-eating/add-color/meet-the-apple-family,Meet the Apple Family | American Heart Association,add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/25__heart-org-en-healthy-living-healthy-eating-add-color-meet-the-apple-family.png,ok,
