brand,slug,input_url,final_url,screenshot_file,status,capture_method,error
American Cancer Society,american_cancer_society,https://www.cancer.org/,https://www.cancer.org/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/american_cancer_society.png,captured,playwright-chromium,
American Red Cross,american_red_cross,https://www.redcross.org/,https://www.redcross.org/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/american_red_cross.png,captured,playwright-firefox,
St. Jude Children's Research Hospital,st_jude,https://www.stjude.org/,https://www.stjude.org/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/st_jude.png,captured,playwright-chromium,
Mayo Clinic,mayo_clinic,https://www.mayoclinic.org/,https://www.mayoclinic.org/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/mayo_clinic.png,captured,playwright-chromium,
Cleveland Clinic,cleveland_clinic,https://my.clevelandclinic.org/,https://my.clevelandclinic.org/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/cleveland_clinic.png,captured,playwright-chromium,
Alzheimer's Association,alzheimers_association,https://www.alz.org/,https://www.alz.org/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/alzheimers_association.png,captured,playwright-chromium,
Breakthrough T1D,breakthrough_t1d,https://www.breakthrought1d.org/,https://www.breakthrought1d.org/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/breakthrough_t1d.png,captured,playwright-chromium,
American Diabetes Association,american_diabetes_association,https://diabetes.org/,https://diabetes.org/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/american_diabetes_association.png,captured,playwright-chromium,
American Lung Association,american_lung_association,https://www.lung.org/,https://www.lung.org/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/american_lung_association.png,captured,playwright-chromium,
Susan G. Komen,susan_g_komen,https://www.komen.org/,https://www.komen.org/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/susan_g_komen.png,captured,playwright-chromium,
British Heart Foundation,british_heart_foundation,https://www.bhf.org.uk/,https://www.bhf.org.uk/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/british_heart_foundation.png,captured,playwright-chromium,
Heart and Stroke Foundation of Canada,heart_and_stroke_canada,https://www.heartandstroke.ca/,https://www.heartandstroke.ca/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/heart_and_stroke_canada.png,captured,playwright-chromium,
National Heart Foundation of Australia,heart_foundation_australia,https://www.heartfoundation.org.au/,https://www.heartfoundation.org.au/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/heart_foundation_australia.png,captured,playwright-chromium,
Heart Foundation NZ,heart_foundation_nz,https://www.heartfoundation.org.nz/,https://www.heartfoundation.org.nz/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/heart_foundation_nz.png,captured,playwright-chromium,
Irish Heart Foundation,irish_heart_foundation,https://irishheart.ie/,https://irishheart.ie/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/irish_heart_foundation.png,captured,playwright-chromium,
Deutsche Herzstiftung,deutsche_herzstiftung,https://herzstiftung.de/,https://herzstiftung.de/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/deutsche_herzstiftung.png,captured,playwright-chromium,
Heart Research UK,heart_research_uk,https://heartresearch.org.uk/,https://heartresearch.org.uk/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/heart_research_uk.png,captured,playwright-chromium,
Heart Research Australia,heart_research_australia,https://heartresearch.com.au/,https://heartresearch.com.au/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/heart_research_australia.png,captured,playwright-chromium,
Singapore Heart Foundation,singapore_heart_foundation,https://www.myheart.org.sg/,https://www.myheart.org.sg/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/singapore_heart_foundation.png,captured,playwright-chromium,
Heart and Stroke Foundation South Africa,heart_and_stroke_south_africa,https://www.heartfoundation.co.za/,https://www.heartfoundation.co.za/,reference/evidence/screenshots/aha-space-competitors-global-2026-04/heart_and_stroke_south_africa.png,captured,playwright-chromium,
